"","salida"
"2014-07-31",1.46677419354839
"2014-08-31",1.39064516129032
"2014-09-30",1.82266666666667
"2014-10-31",1.92677419354839
"2014-11-30",1.81233333333333
"2014-12-31",1.94806451612903
"2015-01-31",1.90161290322581
"2015-02-28",1.5575
"2015-03-31",0.97741935483871
"2015-04-30",1.44733333333333
"2015-05-31",1.87354838709677
"2015-06-30",1.746
"2015-07-31",1.23548387096774
"2015-08-31",1.17612903225806
"2015-09-30",1.88833333333333
"2015-10-31",2.16774193548387
"2015-11-30",2.15466666666667
"2015-12-31",2.57903225806452
"2016-01-31",2.74709677419355
"2016-02-29",2.83620689655172
"2016-03-31",2.85967741935484
"2016-04-30",2.40166666666667
"2016-05-31",1.96032258064516
"2016-06-30",1.88833333333333
"2016-07-31",1.75161290322581
"2016-08-31",2.05677419354839
"2016-09-30",2.85066666666667
"2016-10-31",7.35161290322581
"2016-11-30",18.06
"2016-12-31",21.81
"2017-01-31",23.3851612903226
"2017-02-28",16.0535714285714
"2017-03-31",11.9848387096774
"2017-04-30",9.906
"2017-05-31",14.2222580645161
"2017-06-30",13.4336666666667
"2017-07-31",14.0154838709677
"2017-08-31",10.6487096774194
"2017-09-30",7.11333333333333
"2017-10-31",7.23806451612903
"2017-11-30",7.88333333333333
"2017-12-31",10.9159966157097
"2018-01-31",11.3085802422581
"2018-02-28",10.30270649775
"2018-03-31",7.00222522954839
"2018-04-30",6.72327475326667
"2018-05-31",6.5991534986129
"2018-06-30",6.57871406103333
"2018-07-30",5.99533333333333
